"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"与力町公園","防災関連施設 - 一時避難場所・災害時避難所","北区","与力町5","－","24時間","指定緊急避難場所","地震、津波","135.514340115112","34.7010749504402","一時避難場所"
"野崎公園","防災関連施設 - 一時避難場所・災害時避難所","北区","野崎町2","－","24時間","指定緊急避難場所","地震、津波","135.50706791353","34.7012887877485","一時避難場所"
"黒崎町公園","防災関連施設 - 一時避難場所・災害時避難所","北区","黒崎町5","－","24時間","指定緊急避難場所","地震、津波","135.508835927949","34.7072380668836","一時避難場所"
"浮田公園","防災関連施設 - 一時避難場所・災害時避難所","北区","浮田2-5","－","24時間","指定緊急避難場所","地震、津波","135.507613369791","34.7096614088679","一時避難場所"
"中津中央公園","防災関連施設 - 一時避難場所・災害時避難所","北区","中津3-4","－","24時間","指定緊急避難場所","地震","135.4932904807","34.7101991494562","一時避難場所"
"堀川児童遊園","防災関連施設 - 一時避難場所・災害時避難所","北区","天神橋3-4","－","24時間","指定緊急避難場所","地震、津波","135.512090269527","34.700463955122","一時避難場所"
"浮田西児童遊園","防災関連施設 - 一時避難場所・災害時避難所","北区","浮田2-2","－","24時間","指定緊急避難場所","地震、津波","135.507950797753","34.7095528244261","一時避難場所"
"毛馬桜宮（毛馬）公園","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄東1（2)","－","24時間","指定緊急避難場所","地震、津波","135.520547168402","34.7140357964517","一時避難場所"
"鶴満寺公園","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄東1-3","－","24時間","指定緊急避難場所","地震、津波","135.516398400071","34.7111889087862","一時避難場所"
"本庄公園","防災関連施設 - 一時避難場所・災害時避難所","北区","本庄西3-11","－","24時間","指定緊急避難場所","地震","135.504042108169","34.7154366380871","一時避難場所"
"大淀中公園","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀中1-9","－","24時間","指定緊急避難場所","地震","135.488727502702","34.7049654716708","一時避難場所"
"豊崎南公園","防災関連施設 - 一時避難場所・災害時避難所","北区","豊崎3-7","－","24時間","指定緊急避難場所","地震","135.499325985499","34.710467370518","一時避難場所"
"長柄公園","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄西2-7","－","24時間","指定緊急避難場所","地震、津波","135.513739155056","34.7174116610667","一時避難場所"
"大淀南公園","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀南1-8","－","24時間","指定緊急避難場所","地震","135.487915174467","34.7034804374917","一時避難場所"
"中津東公園","防災関連施設 - 一時避難場所・災害時避難所","北区","中津2-1","－","24時間","指定緊急避難場所","地震","135.498046178231","34.7136985767885","一時避難場所"
"豊崎北公園","防災関連施設 - 一時避難場所・災害時避難所","北区","豊崎6-13","－","24時間","指定緊急避難場所","地震","135.502205656863","34.7164459997825","一時避難場所"
"大淀北公園","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀北1-4","－","24時間","指定緊急避難場所","地震","135.48666785121","34.7079378889893","一時避難場所"
"国分寺公園","防災関連施設 - 一時避難場所・災害時避難所","北区","国分寺1-5","－","24時間","指定緊急避難場所","地震、津波","135.514852507456","34.7102716390815","一時避難場所"
"本庄川崎公園","防災関連施設 - 一時避難場所・災害時避難所","北区","本庄東2-6","－","24時間","指定緊急避難場所","地震、津波","135.508275272698","34.7133574924995","一時避難場所"
"本庄小公園","防災関連施設 - 一時避難場所・災害時避難所","北区","本庄東3-4","－","24時間","指定緊急避難場所","地震、津波","135.50912491722","34.7166532660543","一時避難場所"
"浦江公園","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀南3-3","－","24時間","指定緊急避難場所","地震","135.483460980044","34.701596974248","一時避難場所"
"豊崎西公園","防災関連施設 - 一時避難場所・災害時避難所","北区","豊崎5-5","－","24時間","指定緊急避難場所","地震","135.498775750007","34.7115530346681","一時避難場所"
"中津南公園","防災関連施設 - 一時避難場所・災害時避難所","北区","中津5-3","－","24時間","指定緊急避難場所","地震","135.491408770555","34.7060977224585","一時避難場所"
"豊崎中公園","防災関連施設 - 一時避難場所・災害時避難所","北区","豊崎7-1","－","24時間","指定緊急避難場所","地震","135.499657763792","34.713916968829","一時避難場所"
"豊崎東公園","防災関連施設 - 一時避難場所・災害時避難所","北区","豊崎4-7","－","24時間","指定緊急避難場所","地震","135.50172197033","34.7126959929504","一時避難場所"
"中津公園","防災関連施設 - 一時避難場所・災害時避難所","北区","中津2-8","－","24時間","指定緊急避難場所","地震","135.495859563839","34.714922841827","一時避難場所"
"大淀西公園","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀北2-1","－","24時間","指定緊急避難場所","地震","135.478525249607","34.7047802959091","一時避難場所"
"本庄南公園","防災関連施設 - 一時避難場所・災害時避難所","北区","本庄西1-4","－","24時間","指定緊急避難場所","地震","135.506566713498","34.7118071643648","一時避難場所"
"長柄東公園","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄東1","－","24時間","指定緊急避難場所","地震、津波","135.519049614144","34.7120950120682","一時避難場所"
"長柄西公園","防災関連施設 - 一時避難場所・災害時避難所","北区","長柄西1-7","－","24時間","指定緊急避難場所","地震、津波","135.514075480256","34.7147034776808","一時避難場所"
"大淀中５公園","防災関連施設 - 一時避難場所・災害時避難所","北区","大淀中5-8","－","24時間","指定緊急避難場所","地震","135.481174189112","34.7028736074859","一時避難場所"
"もと曽根崎小売市場（跡地）","防災関連施設 - 一時避難場所・災害時避難所","北区","曽根崎2-10","－","24時間","－","地震","135.501114149267","34.7006226143711","一時避難場所"
"桜宮小学校","防災関連施設 - 一時避難場所・災害時避難所","都島区","東野田町1-10-19","6351-1577","24時間","指定緊急避難場所・指定避難所","地震、津波","135.527285898172","34.6965841707473","一時避難場所・災害時避難所"
"中野小学校","防災関連施設 - 一時避難場所・災害時避難所","都島区","中野町3-10-5","6352-3258","24時間","指定緊急避難場所・指定避難所","地震","135.524182684119","34.7029863986701","一時避難場所・災害時避難所"
"都島小学校","防災関連施設 - 一時避難場所・災害時避難所","都島区","都島本通3-10-3","6921-1434","24時間","指定緊急避難場所・指定避難所","地震","135.528151345823","34.7072774328462","一時避難場所・災害時避難所"
"東都島小学校","防災関連施設 - 一時避難場所・災害時避難所","都島区","都島本通4-24-20","6921-2955","24時間","指定緊急避難場所・指定避難所","地震","135.534268586084","34.7079967953666","一時避難場所・災害時避難所"
"内代小学校","防災関連施設 - 一時避難場所・災害時避難所","都島区","内代町3-4-6","6954-1500","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537105494355","34.7134368362397","一時避難場所・災害時避難所"
"高倉小学校","防災関連施設 - 一時避難場所・災害時避難所","都島区","高倉町3-3-10","6922-3301","24時間","指定緊急避難場所・指定避難所","地震","135.533153813999","34.7183690211784","一時避難場所・災害時避難所"
